"g","mY","gY","mU","gU","mW","gW","e0","eP","eM","mUs"
0.55257,0.125,15.695,8.59375,0.0002977,3.547,0.0089375,0.005764,1.2666375,28.9725,NA
0.74477,0.125,28.375,1.927,0.0034108,4.1006,0.0092245,0.0032375,1.7100375,14.731,NA
0.61096,0.125,64.354,4.65325,0.0025152,8.5613,0.0055635,0.000892,1.9431375,38.285,NA
0.27667,0.125,1.002,8.895625,0.0061399,4.4349,0.0075725,0.000285,0.239925,44.594,NA
0.09218,0.125,85.343,8.92075,0.0061788,9.5013,0.004406,0.0049235,0.6105375,42.782,NA
0.15752,0.125,53.761,7.425625,0.0049808,7.2115,0.006423,0.0090955,3.648075,9.843,NA
0.44739,0.125,9.86,7.070875,0.0038422,9.663,0.000486,0.0080055,3.0828375,32.555,NA
0.07695,0.125,45.824,6.776875,0.004234,6.8027,0.0046165,0.0026905,0.1693125,25.552,NA
0.82104,0.125,48.613,6.55475,0.0022205,1.2933,0.005782,0.0098595,0.5265375,44.692,NA
0.3192,0.125,41.038,2.848875,0.004009,1.0741,0.0004485,0.0056435,1.1043375,22.2655,NA
0.23756,0.125,10.111,12.394625,0.0053863,1.1157,0.009823,0.003077,2.8231875,39.671,NA
0.55492,0.125,25.053,3.870625,0.0012167,7.5031,0.002078,0.0091835,1.44105,36.484,NA
0.5485,0.125,50.45,9.81975,0.0025589,8.7555,0.0022025,0.0067645,0.2209875,29.9655,NA
0.82475,0.125,81.335,4.7615,0.0002011,1.2811,0.00869,0.0078785,2.5524375,37.163,NA
0.97514,0.125,72.465,2.49125,0.0051405,5.9885,0.0087725,0.004181,2.8545,12.2855,NA
0.29467,0.125,10.431,4.27925,0.0089913,8.5943,0.0048065,0.0021765,0.71505,37.7055,NA
0.40322,0.125,18.019,9.9845,0.0022588,2.6576,0.0093145,0.007155,1.6654875,19.8505,NA
0.84199,0.125,48.805,9.831875,1.28e-05,7.15,0.0076995,0.003797,1.56165,27.0555,NA
0.68879,0.125,55.179,9.639625,0.0081967,7.9672,0.005136,0.0025265,3.39675,8.635,NA
0.85691,0.125,48.971,11.6885,0.0021483,1.0754,0.001063,0.0047445,0.32025,0.7525,NA
0.78558,0.125,60.227,1.631375,0.009823,1.1028,0.002892,0.000386,2.1135,33.708,NA
0.91969,0.125,61.279,3.98825,0.008468,6.5786,0.0023615,0.008435,2.4708,4.359,NA
0.78974,0.125,58.56,9.929125,0.0008851,0.9646,0.0068735,0.0047905,1.306275,26.9875,NA
0.28479,0.125,44.594,11.5785,0.0013719,1.0173,0.0048675,0.0034495,1.203975,2.1885,NA
0.10031,0.125,24.6,4.81125,0.0094811,0.7327,0.00798,0.007235,1.839675,4.988,NA
0.48645,0.125,73.619,5.626625,0.0028018,3.6692,0.001124,0.008229,3.6138375,14.866,NA
0.65277,0.125,11.14,2.615625,0.0099781,6.7575,0.0094085,0.005854,3.067125,29.5445,NA
0.87364,0.125,78.432,1.620125,0.0020376,7.5834,0.0014125,0.0031345,2.402025,32.6685,NA
0.47314,0.125,1.968,5.370375,0.0012203,1.2895,0.00684,0.001177,3.283725,36.0685,NA
0.79728,0.125,59.916,1.01625,0.0013015,6.3497,0.0034055,0.0094445,0.560325,7.607,NA
0.16237,0.125,69.467,2.424375,0.0069818,5.0321,8e-05,0.002339,0.9505875,7.1415,NA
0.20002,0.125,20.845,11.625375,0.0050983,2.6326,0.0055965,0.003879,2.4925125,36.9785,NA
0.90329,0.125,53.961,7.5285,0.002834,1.8196,0.009411,0.0088555,1.3059375,19.5845,NA
0.62393,0.125,55.486,2.47575,0.003007,9.7709,0.0057115,0.0034785,2.099925,31.565,NA
0.11356,0.125,60.453,0.075875,0.0031195,1.9754,0.008875,0.003511,0.5110125,41.907,NA
0.31856,0.125,34.439,9.59875,0.0085485,6.0535,0.0058925,0.0048295,1.0809,14.878,NA
0.64565,0.125,63.2,6.26825,0.0090559,7.7198,0.002914,0.007426,3.0567375,32.8,NA
0.34883,0.125,17.275,5.105375,0.0016204,9.3141,0.0095295,0.008076,3.590775,16.391,NA
0.27653,0.125,22.671,3.6895,0.0021214,8.3926,0.005466,0.0003845,2.176275,5.2155,NA
0.58569,0.125,23.841,2.765875,0.006121,9.4771,0.008353,0.0063855,2.21235,29.7,NA
0.23856,0.125,17.427,4.45225,2.42e-05,2.6663,0.0062295,0.003139,1.320075,25.833,NA
0.58695,0.125,96.414,12.371125,0.0096106,1.8268,0.001878,0.003121,3.40005,47.833,NA
0.33612,0.125,31.764,5.42325,0.0042881,5.3604,0.0057305,0.0081275,2.9853,14.277,NA
0.65244,0.125,1.162,10.0825,0.0002948,4.238,0.0059965,0.0058075,3.3829125,40.2995,NA
0.47194,0.125,15.642,11.41025,0.007396,2.7233,6.15e-05,0.0028855,0.5691,33.21,NA
0.2027,0.125,75.305,4.614125,0.0086194,9.5864,0.001484,0.004523,0.857925,17.903,NA
0.17332,0.125,72.862,6.85675,3.86e-05,6.4662,0.0041365,0.0056265,0.652725,20.85,NA
0.54823,0.125,30.678,7.58375,0.0048741,8.4401,0.0093515,0.001568,1.055475,29.356,NA
0.272,0.125,68.971,8.814125,0.0044911,8.815,0.00345,0.0097295,2.400075,5.58,NA
0.81999,0.125,16.982,6.6665,0.0019236,4.2048,0.0079225,0.006301,1.156275,8.493,NA
